# Comprehensive S&P 500 Stock List
# This file contains major S&P 500 stocks organized by sector
# Format: SYMBOL,Company Name,Sector

# Information Technology (Mega Cap)
AAPL,Apple Inc.,Information Technology
MSFT,Microsoft Corporation,Information Technology
NVDA,NVIDIA Corporation,Information Technology
AVGO,Broadcom Inc.,Information Technology
ORCL,Oracle Corporation,Information Technology
CSCO,Cisco Systems Inc.,Information Technology
ADBE,Adobe Inc.,Information Technology
CRM,Salesforce Inc.,Information Technology
AMD,Advanced Micro Devices Inc.,Information Technology
INTC,Intel Corporation,Information Technology
QCOM,QUALCOMM Incorporated,Information Technology
TXN,Texas Instruments Incorporated,Information Technology
NOW,ServiceNow Inc.,Information Technology
INTU,Intuit Inc.,Information Technology
AMAT,Applied Materials Inc.,Information Technology
MU,Micron Technology Inc.,Information Technology
LRCX,Lam Research Corporation,Information Technology
KLAC,KLA Corporation,Information Technology
SNPS,Synopsys Inc.,Information Technology
CDNS,Cadence Design Systems Inc.,Information Technology
PANW,Palo Alto Networks Inc.,Information Technology
ADSK,Autodesk Inc.,Information Technology
FTNT,Fortinet Inc.,Information Technology
ADP,Automatic Data Processing Inc.,Information Technology
IBM,International Business Machines Corporation,Information Technology
ACN,Accenture plc,Information Technology
AVGO,Broadcom Inc.,Information Technology
HPQ,HP Inc.,Information Technology
FICO,Fair Isaac Corporation,Information Technology
ANSS,ANSYS Inc.,Information Technology

# Information Technology (Growth/Cloud)
SNOW,Snowflake Inc.,Information Technology
DDOG,Datadog Inc.,Information Technology
NET,Cloudflare Inc.,Information Technology
ZS,Zscaler Inc.,Information Technology
CRWD,CrowdStrike Holdings Inc.,Information Technology
OKTA,Okta Inc.,Information Technology
TWLO,Twilio Inc.,Information Technology
ZM,Zoom Video Communications Inc.,Information Technology
DOCU,DocuSign Inc.,Information Technology
SPLK,Splunk Inc.,Information Technology
VEEV,Veeva Systems Inc.,Information Technology
WDAY,Workday Inc.,Information Technology
TEAM,Atlassian Corporation,Information Technology
HUBS,HubSpot Inc.,Information Technology
MDB,MongoDB Inc.,Information Technology

# Communication Services
GOOGL,Alphabet Inc. Class A,Communication Services
GOOG,Alphabet Inc. Class C,Communication Services
META,Meta Platforms Inc.,Communication Services
NFLX,Netflix Inc.,Communication Services
DIS,The Walt Disney Company,Communication Services
CMCSA,Comcast Corporation,Communication Services
T,AT&T Inc.,Communication Services
VZ,Verizon Communications Inc.,Communication Services
TMUS,T-Mobile US Inc.,Communication Services
CHTR,Charter Communications Inc.,Communication Services
EA,Electronic Arts Inc.,Communication Services
TTWO,Take-Two Interactive Software Inc.,Communication Services
LYV,Live Nation Entertainment Inc.,Communication Services
NWSA,News Corporation Class A,Communication Services
FOX,Fox Corporation Class A,Communication Services
PARA,Paramount Global,Communication Services
WBD,Warner Bros. Discovery Inc.,Communication Services
MTCH,Match Group Inc.,Communication Services
SPOT,Spotify Technology SA,Communication Services

# Consumer Discretionary (Mega Cap)
AMZN,Amazon.com Inc.,Consumer Discretionary
TSLA,Tesla Inc.,Consumer Discretionary
HD,The Home Depot Inc.,Consumer Discretionary
MCD,McDonald's Corporation,Consumer Discretionary
NKE,NIKE Inc.,Consumer Discretionary
SBUX,Starbucks Corporation,Consumer Discretionary
LOW,Lowe's Companies Inc.,Consumer Discretionary
TJX,The TJX Companies Inc.,Consumer Discretionary
BKNG,Booking Holdings Inc.,Consumer Discretionary
ABNB,Airbnb Inc.,Consumer Discretionary
GM,General Motors Company,Consumer Discretionary
F,Ford Motor Company,Consumer Discretionary
MAR,Marriott International Inc.,Consumer Discretionary
HLT,Hilton Worldwide Holdings Inc.,Consumer Discretionary
YUM,Yum! Brands Inc.,Consumer Discretionary
CMG,Chipotle Mexican Grill Inc.,Consumer Discretionary
DPZ,Domino's Pizza Inc.,Consumer Discretionary

# Consumer Discretionary (Retail & Auto)
ORLY,O'Reilly Automotive Inc.,Consumer Discretionary
AZO,AutoZone Inc.,Consumer Discretionary
ROST,Ross Stores Inc.,Consumer Discretionary
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary
CCL,Carnival Corporation,Consumer Discretionary
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary
LVS,Las Vegas Sands Corp.,Consumer Discretionary
WYNN,Wynn Resorts Limited,Consumer Discretionary
MGM,MGM Resorts International,Consumer Discretionary
LULU,Lululemon Athletica Inc.,Consumer Discretionary
ULTA,Ulta Beauty Inc.,Consumer Discretionary
DHI,D.R. Horton Inc.,Consumer Discretionary
LEN,Lennar Corporation,Consumer Discretionary
PHM,PulteGroup Inc.,Consumer Discretionary
NVR,NVR Inc.,Consumer Discretionary
KMX,CarMax Inc.,Consumer Discretionary
AN,AutoNation Inc.,Consumer Discretionary
BBWI,Bath & Body Works Inc.,Consumer Discretionary
GPS,The Gap Inc.,Consumer Discretionary
DKS,DICK'S Sporting Goods Inc.,Consumer Discretionary
DECK,Deckers Outdoor Corporation,Consumer Discretionary
CROX,Crocs Inc.,Consumer Discretionary

# Financials (Banks)
JPM,JPMorgan Chase & Co.,Financials
BAC,Bank of America Corporation,Financials
WFC,Wells Fargo & Company,Financials
C,Citigroup Inc.,Financials
MS,Morgan Stanley,Financials
GS,The Goldman Sachs Group Inc.,Financials
SCHW,The Charles Schwab Corporation,Financials
USB,U.S. Bancorp,Financials
PNC,The PNC Financial Services Group Inc.,Financials
TFC,Truist Financial Corporation,Financials
COF,Capital One Financial Corporation,Financials
DFS,Discover Financial Services,Financials
SYF,Synchrony Financial,Financials

# Financials (Payments & Services)
V,Visa Inc.,Financials
MA,Mastercard Incorporated,Financials
AXP,American Express Company,Financials
PYPL,PayPal Holdings Inc.,Financials
SQ,Block Inc.,Financials
BLK,BlackRock Inc.,Financials
SPGI,S&P Global Inc.,Financials
MCO,Moody's Corporation,Financials
MSCI,MSCI Inc.,Financials
ICE,Intercontinental Exchange Inc.,Financials
CME,CME Group Inc.,Financials
COIN,Coinbase Global Inc.,Financials

# Financials (Insurance)
BRK-B,Berkshire Hathaway Inc. Class B,Financials
CB,Chubb Limited,Financials
PGR,The Progressive Corporation,Financials
TRV,The Travelers Companies Inc.,Financials
ALL,The Allstate Corporation,Financials
MMC,Marsh & McLennan Companies Inc.,Financials
AON,Aon plc,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AFL,Aflac Incorporated,Financials
MET,MetLife Inc.,Financials
PRU,Prudential Financial Inc.,Financials
AIG,American International Group Inc.,Financials
HIG,The Hartford Financial Services Group Inc.,Financials

# Health Care (Pharma)
UNH,UnitedHealth Group Incorporated,Health Care
JNJ,Johnson & Johnson,Health Care
LLY,Eli Lilly and Company,Health Care
ABBV,AbbVie Inc.,Health Care
MRK,Merck & Co. Inc.,Health Care
PFE,Pfizer Inc.,Health Care
TMO,Thermo Fisher Scientific Inc.,Health Care
ABT,Abbott Laboratories,Health Care
DHR,Danaher Corporation,Health Care
BMY,Bristol-Myers Squibb Company,Health Care
AMGN,Amgen Inc.,Health Care
GILD,Gilead Sciences Inc.,Health Care
REGN,Regeneron Pharmaceuticals Inc.,Health Care
VRTX,Vertex Pharmaceuticals Incorporated,Health Care
BIIB,Biogen Inc.,Health Care
MRNA,Moderna Inc.,Health Care

# Health Care (Services & Devices)
CVS,CVS Health Corporation,Health Care
CI,The Cigna Group,Health Care
HUM,Humana Inc.,Health Care
ELV,Elevance Health Inc.,Health Care
CNC,Centene Corporation,Health Care
MOH,Molina Healthcare Inc.,Health Care
ISRG,Intuitive Surgical Inc.,Health Care
BSX,Boston Scientific Corporation,Health Care
MDT,Medtronic plc,Health Care
SYK,Stryker Corporation,Health Care
EW,Edwards Lifesciences Corporation,Health Care
ZBH,Zimmer Biomet Holdings Inc.,Health Care
BAX,Baxter International Inc.,Health Care
IDXX,IDEXX Laboratories Inc.,Health Care
