symbol,volume,avg_volume,market_cap,price,rank
RUBI,645859300,15768366,9614824.0,0.23600000143051147,1
CETY,322567400,130466,10864070.0,2.319999933242798,2
NVDA,319741500,193911753,4336595501056.0,177.82000732421875,3
IVP,221427800,17654484,655909.0,0.17299999296665192,4
OPEN,142642500,227855569,7382319616.0,7.739999771118164,5
INHD,125896200,8508188,3489615.0,0.27000001072883606,6
ONDS,119565500,72147425,3144376576.0,8.4399995803833,7
GOOGL,88490900,37196606,3917544685568.0,323.44000244140625,8
BBAI,84946100,115849279,2702252032.0,6.190000057220459,9
PLUG,84692900,125999533,2713283072.0,1.9500000476837158,10
ASST,78552200,81620969,905186816.0,1.1100000143051147,11
TSLA,71726100,90112188,1394848563200.0,419.3999938964844,12
AMD,69606900,58812401,335588229120.0,206.1300048828125,13
AAL,67310600,69740474,8884763648.0,13.460000038146973,14
AEHL,64655700,2406180,16550637.0,3.200000047683716,15
INTC,62111700,110670280,170909106176.0,35.83000183105469,16
PMCB,57725900,78438,6048243.0,0.8899999856948853,17
SOFI,56663200,73121357,34163234816.0,28.329999923706055,18
BTG,56089200,49800933,5785476096.0,4.329999923706055,19
CMND,55488000,8770047,2667401.0,0.1599999964237213,20
DNN,54897500,86499860,2216307712.0,2.4700000286102295,21
F,52845700,92152234,52475846656.0,13.170000076293945,22
BYND,52498600,179358565,388755008.0,0.8569999933242798,23
GOOG,50768300,23828649,3906928377856.0,323.6400146484375,24
BITF,50387200,94074331,1656247936.0,2.7699999809265137,25
BMNR,49304600,44880653,11103399936.0,28.90999984741211,26
HBAN,47994300,31247360,25360381952.0,16.18000030517578,27
AAPL,46888700,51563939,4110342684672.0,276.9700012207031,28
LNAI,46523600,3127916,25306984.0,1.0800000429153442,29
WULF,45538300,42777344,5836425216.0,13.9399995803833,30
CLSK,45438700,32415209,3159908864.0,11.819999694824219,31
T,44332700,48017615,183333175296.0,25.860000610351562,32
KVUE,43979800,40850652,32681762816.0,17.030000686645508,33
BTBT,43340100,35853138,731505088.0,2.259999990463257,34
NU,42751000,41581252,80485015552.0,16.610000610351562,35
GRAB,42595600,55396179,21415878656.0,5.239999771118164,36
BAC,41308900,35633887,388716593152.0,52.47999954223633,37
RGTI,39947000,83562726,8607080448.0,26.079999923706055,38
OSRH,39538600,4272779,20961832.0,0.8169999718666077,39
AMZN,39306000,48368466,2455221829632.0,229.6699981689453,40
MARA,39275900,56614530,4224319232.0,11.170000076293945,41
PFE,39112200,68085822,146236407808.0,25.719999313354492,42
RKT,38799600,40031695,55360397312.0,19.65999984741211,43
CHR,38457100,46153766,4036807.0,0.05000000074505806,44
IREN,38124800,42060017,13456107520.0,47.470001220703125,45
CIFR,37703400,51965498,6922013184.0,17.520000457763672,46
RIG,37671900,47806050,4460836864.0,4.050000190734863,47
ACHR,37143100,57420663,4806900736.0,7.380000114440918,48
PLTR,36448600,56998577,389811011584.0,163.5500030517578,49
KSS,35474000,5695630,2512714240.0,22.420000076293945,50
RELI,35407600,4849493,6413626.0,0.6499999761581421,51
AMCR,35285600,23739201,19644143616.0,8.510000228881836,52
